
   t+ 42.0min   TAJ -> THR  ( 15.5 km, 4 pax, SoC after: 23.2%)
   t+ 51.3min   THR -> TAJ  ( 15.5 km, 4 pax, SoC after: 15.0%)
   t+ 59.2min   TAJ -> THR  ( 15.5 km, 4 pax, SoC after: 23.2%)
   t+ 70.1min   THR -> TAJ  ( 15.5 km, 4 pax, SoC after: 15.0%)
   t+ 78.0min   TAJ -> THR  ( 15.5 km, 4 pax, SoC after: 48.9%)
   t+ 93.5min   THR -> CHT  ( 14.0 km, 4 pax, SoC after: 41.5%)
   t+101.1min   CHT -> THR  ( 14.0 km, 4 pax, SoC after: 34.1%)
   t+108.7min   THR -> CHT  ( 14.0 km, 4 pax, SoC after: 26.7%)
   t+116.3min   CHT -> TAJ  ( 22.1 km, 4 pax, SoC after: 15.0%)
   t+125.5min   TAJ -> IKA  ( 50.8 km, 4 pax, SoC after: 15.0%)
   t+144.7min   IKA -> TAJ  ( 50.8 km, 4 pax, SoC after: 15.0%)
   t+164.0min   TAJ -> IKA  ( 50.8 km, 4 pax, SoC after: 15.0%)
   t+183.3min   IKA -> TAJ  ( 50.8 km, 4 pax, SoC after: 15.0%)
   t+202.5min   TAJ -> IKA  ( 50.8 km, 4 pax, SoC after: 15.0%)
   t+221.8min   IKA -> CHT  ( 38.8 km, 4 pax, SoC after: 15.0%)
   charge stops: [(3, 1.4), (5, 3.0), (7, 7.6), (12, 4.8), (13, 4.8), (14, 4.8), (15, 4.8), (16, 4.8), (17, 3.7)]

AT-05 [4seat] — 17 legs, 601.8 km, 68 pax carried
   t+  0.0min   IKA -> THR  ( 35.4 km, 4 pax, SoC after: 81.3%)
   t+ 11.6min   THR -> IKA  ( 35.4 km, 4 pax, SoC after: 62.6%)
   t+ 23.2min   IKA -> THR  ( 35.4 km, 4 pax, SoC after: 43.9%)
   t+ 34.8min   THR -> IKA  ( 35.4 km, 4 pax, SoC after: 25.2%)
   t+ 46.4min   IKA -> THR  ( 35.4 km, 4 pax, SoC after: 33.7%)
   t+ 62.9min   THR -> IKA  ( 35.4 km, 4 pax, SoC after: 15.0%)
   t+ 74.5min   IKA -> THR  ( 35.4 km, 4 pax, SoC after: 33.7%)
   t+ 92.8min   THR -> IKA  ( 35.4 km, 4 pax, SoC after: 15.0%)
