
   mid-cycle charge stops: [(6, 2.1), (8, 5.0), (10, 5.0), (12, 5.3), (15, 4.2), (17, 4.2), (19, 2.1)]

AT-04 [4seat] — 18 legs, 551.7 km, 72 pax carried  [closed-loop, NOT SoC-periodic]
   t+  0.0min   THR -> IKA  ( 35.4 km, 4 pax, SoC after: 81.3%)
   t+ 11.6min   IKA -> THR  ( 35.4 km, 4 pax, SoC after: 63.3%)
   t+ 23.3min   THR -> CHT  ( 14.0 km, 4 pax, SoC after: 55.9%)
   t+ 30.9min   CHT -> THR  ( 14.0 km, 4 pax, SoC after: 48.5%)
   t+ 38.5min   THR -> CHT  ( 14.0 km, 4 pax, SoC after: 41.1%)
   t+ 46.1min   CHT -> THR  ( 14.0 km, 4 pax, SoC after: 33.7%)
   t+ 53.7min   THR -> IKA  ( 35.4 km, 4 pax, SoC after: 15.0%)
   t+ 65.3min   IKA -> THR  ( 35.4 km, 4 pax, SoC after: 33.7%)
   t+ 83.6min   THR -> IKA  ( 35.4 km, 4 pax, SoC after: 15.0%)
   t+ 95.2min   IKA -> THR  ( 35.4 km, 4 pax, SoC after: 33.7%)
   t+113.5min   THR -> IKA  ( 35.4 km, 4 pax, SoC after: 15.0%)
   t+125.1min   IKA -> THR  ( 35.4 km, 4 pax, SoC after: 33.7%)
   t+143.4min   THR -> IKA  ( 35.4 km, 4 pax, SoC after: 15.0%)
   t+155.0min   IKA -> THR  ( 35.4 km, 4 pax, SoC after: 33.7%)
   t+173.3min   THR -> IKA  ( 35.4 km, 4 pax, SoC after: 15.0%)
   t+184.9min   IKA -> THR  ( 35.4 km, 4 pax, SoC after: 33.7%)
   t+203.2min   THR -> IKA  ( 35.4 km, 4 pax, SoC after: 15.0%)
   t+214.8min   IKA -> THR  ( 35.4 km, 4 pax, SoC after: 15.0%)
   mid-cycle charge stops: [(1, 0.1), (7, 6.7), (9, 6.7), (11, 6.7), (13, 6.7), (15, 6.7), (17, 3.4)]

AT-05 [4seat] — 16 legs, 614.4 km, 60 pax carried  [closed-loop, NOT SoC-periodic]
